ID1,CASEID,HHID,V001,V002,V003,V004,V007,V008,V009,V010,V011,V012,V013,V014,V015,V017,V018,V019,V019A,V020,V021,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V040,V042,V043,V044,V000,Q105DD,V101,V102,V103,V104,V105,V106,V107,V113,V115,V116,V119,V120,V121,V122,V123,V124,V125,V127,V128,V129,V130,V131,V133,V134,V135,V136,V137,V138,V139,V140,V141,V149,V150,V151,V152,V153,AWFACTT,AWFACTU,AWFACTR,AWFACTE,AWFACTW,V155,V156,V157,V158,V159,V160,V161,V166,V167,V168,ML101,QD333_1,QD333_2,QD333_3,QD333_4,QD333_5,QD333_6,UBIGEO,V022,V005,V190,V191,mujeres12a49
2024,      325600601  1,      325600601,3256,6,1,3256,2024,1494,12,1990,1093,33,4,1,1,1429,15,66,4,0,3256,1,1,1,1,1,0,0,0, ,0, , ,2346,1,0,1,PE6,17,1,1,2,11,2,2,2,11,996,12,1,0,1,1,0,0,0,34,31,34, ,10,8,1,1,3,0,1,1,1,1,3,1,2,33,0,100,100,100,100,100,2, ,0,1,1,1,2,994, , , ,2,2,2,2,2,2,010101,1,452717,2,-.178677239135967,2
2024,      325600801  2,      325600801,3256,8,2,3256,2024,1494,3,1988,1059,36,5,1,1,1429,15,66,4,0,3256,1,1,1,1,2,0,0,0, ,0, ,1,2346,1,0,1,PE6,5,1,1,0,5,0,3,5,11,996,12,1,1,1,1,0,0,0,34,31,31, ,10,16,1,1,4,2,1,1,1,1,5,2,1,35,0,100,100,100,100,100,2, ,0,0,3,1,1,994, , , ,2,2,2,2,2,2,010101,1,55498,4,1.11446282353819,2
2024,      325601301  2,      325601301,3256,13,2,3256,2024,1494,3,1988,1060,36,5,1,1,1429,15,66,4,0,3256,1,1,1,1,1,0,0,0, ,0, ,1,2346,1,0,1,PE6,19,1,1,2,18,2,2,5,11,996,12,1,0,1,0,0,0,0,11,21,34, ,10,11,1,1,6,1,2,1,1,1,4,2,1,34,0,100,100,100,100,100,2, ,1,1,1,1,2,994, , , ,2,2,2,2,2,2,010101,1,55498,1,-1.00193835694831,2
2024,      325601301  3,      325601301,3256,13,3,3256,2024,1494,7,2007,1291,16,1,1,1,1429,15,66,4,0,3256,1,1,1,1,2,0,0,0, ,0, , ,2346,1,0,0,PE6,12,1,1,0,95, ,2,4,11,996,12,1,0,1,0,0,0,0,11,21,34, ,10,10,1,1,6,1,2,1,1,1,3,3,1,34,0,100,100,100,100,100,2, ,0,1,1,1,2,994, , , ,2,2,2,2,2,2,010101,1,55498,1,-1.00193835694831,2
2024,      325601701  3,      325601701,3256,17,3,3256,2024,1494, , , , , , ,4,1429,0,0,0,0,3256,1,1,1,1,3,0,0,0, ,0, , ,2346,1,0,3,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,010101,1,0,2,.189202073869901,
2024,      325602801  1,      325602801,3256,28,1,3256,2024,1494,9,1989,1078,34,4,1,1,1429,15,66,4,0,3256,1,1,1,1,3,0,0,0, ,0, ,0,2346,1,0,1,PE6,24,1,1,3,0,3,1,5,11,996,12,1,0,0,0,0,0,0,34,31,34, ,10,5,1,1,5,1,1,1,1,1,1,1,2,34,0,100,100,100,100,100,2,0,0,1,0,0,2,994, , , ,2,2,2,2,2,2,010101,1,55498,2,-.335946695094822,2
2024,      325603201  3,      325603201,3256,32,3,3256,2024,1494,2,1986,1035,38,5,1,1,1429,15,66,4,0,3256,1,1,1,1,2,0,0,0, ,0, ,4,2346,1,0,1,PE6,26,1,1,0,12,0,3,5,11,996,11,1,1,1,1,0,0,0,33,31,31, ,10,16,1,1,7,1,1,1,1,1,5,3,1,63,0,100,100,100,100,100,2, ,1,3,3,0,2,994, , , ,2,2,2,2,2,2,010101,1,55498,5,1.6496464548523,2
2024,      325605001  1,      325605001,3256,50,1,3256,2024,1494,6,2002,1230,22,2,1,1,1429,15,66,4,0,3256,1,1,1,1,1,0,0,0, ,0, , ,2346,1,0,1,PE6,11,1,1,2,2,2,2,5,11,996,11,1,0,1,0,0,0,0,34,31,34, ,10,11,1,1,3,1,1,1,1,1,4,1,2,22,0,100,100,100,100,100,2, ,0,0,1,0,2,994, , , ,2,2,2,2,2,2,010101,1,55498,2,.279444160930231,2
2024,      325605601  1,      325605601,3256,56,1,3256,2024,1494,7,2006,1279,17,1,1,1,1429,15,66,4,0,3256,1,1,1,1,1,0,0,0, ,0, , ,2346,1,0,1,PE6,9,1,1,3,0,3,2,5,71,996,11,1,0,0,0,0,0,0,33,31,31, ,10,11,1,1,1,0,1,1,1,1,4,1,2,17,0,100,100,100,100,100,2, ,0,0,0,0,2,994, , , ,2,2,2,2,2,2,010101,1,452717,3,.478987358942954,2
2024,      325606101  2,      325606101,3256,61,2,3256,2024,1494, , , , , , ,2,1429,0,0,0,0,3256,1,1,1,1,4,0,0,0, ,0, , ,2346,1,0,3,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,010101,1,0,2,.252349960302337,
2024,      325701001  1,      325701001,3257,10,1,3257,2024,1490,9,1983,1006,40,6,1,1,1429,19,62,4,0,3257,1,1,1,1,1,0,0,0, ,0, , ,2383,1,0,1,PE6,15,1,1,2,23,2,2,5,12,3,12,1,1,1,1,0,0,0,34,21,34, ,10,11,1,1,3,1,1,1,1,1,4,1,2,40,0,100,100,100,100,100,2, ,1,3,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,108362,2,-.245284034036999,2
2024,      325702001  1,      325702001,3257,20,1,3257,2024,1490,8,1996,1160,27,3,1,1,1429,19,62,4,0,3257,1,1,1,1,1,0,0,0, ,0, , ,2383,1,0,1,PE6,3,1,1,2,5,2,3,5,12,3,11,1,0,1,0,0,0,0,34,21,31, ,10,16,1,1,1,0,1,1,1,1,5,1,2,27,0,100,100,100,100,100,2, ,0,0,1,1,2,994, , , ,2,2,2,2,2,2,010101,2,883944,2,.133488583252259,2
2024,      325707401  1,      325707401,3257,74,1,3257,2024,1490,9,1991,1102,32,4,1,1,1429,19,62,4,0,3257,1,1,1,1,1,0,0,0, ,0, , ,2383,1,0,1,PE6,20,1,1,2,20,2,3,5,11,996,11,1,0,1,1,0,0,0,33,31,31, ,10,16,1,1,2,1,1,1,1,1,5,1,2,32,0,100,100,100,100,100,2, ,3,0,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,108362,5,1.50423305052595,2
2024,      325710301  2,      325710301,3257,103,2,3257,2024,1490,11,1981,984,42,6,1,1,1429,19,62,4,0,3257,1,1,1,1,1,0,0,0, ,0, , ,2383,1,0,1,PE6,18,1,1,0,95, ,3,5,11,996,11,1,1,1,0,0,0,1,33,31,34, ,10,16,1,1,6,0,2,1,1,1,5,3,2,73,0,100,100,100,100,100,2, ,0,3,2,0,2,994, , , ,2,2,2,2,2,2,010101,2,883944,4,1.05945130518247,2
2024,      325710301  3,      325710301,3257,103,3,3257,2024,1490, , , , , , ,4,1429,0,0,0,0,3257,1,1,1,1,3,0,0,0, ,0, , ,2383,1,0,0,PE6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,010101,2,0,4,1.05945130518247,
2024,      325712401  2,      325712401,3257,124,2,3257,2024,1490,7,1974,896,49,7,1,1,1429,19,62,4,0,3257,1,1,1,1,3,0,0,0, ,0, ,1,2383,1,0,0,PE6,26,1,1,3,20,3,3,2,11,996,11,1,1,1,1,1,1,0,34,21,34, ,10,13,1,1,6,0,2,1,1,1,5,2,1,47,1,100,100,100,100,100,2, ,1,1,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,883944,4,.959334986456487,2
2024,      325712401  3,      325712401,3257,124,3,3257,2024,1490,1,2005,1262,19,1,1,1,1429,19,62,4,0,3257,1,1,1,1,4,0,0,0, ,0, , ,2383,1,0,1,PE6,19,1,1,0,95, ,3,2,11,996,11,1,1,1,1,1,1,0,34,21,34, ,10,13,1,1,6,0,2,1,1,1,5,3,1,47,1,100,100,100,100,100,2, ,0,0,0,0,2,994, , , ,2,2,2,2,2,2,010101,2,883944,4,.959334986456487,2
2024,      325800101  3,      325800101,3258,1,3,3258,2024,1493,1,1984,1009,40,6,1,1,1429,16,65,4,0,3258,1,1,1,2,2,0,0,0, ,0, ,2,368,1,0,1,PE6,1,1,1,3,21,3,2,5,11,996,11,1,0,1,1,0,0,0,34,21,34, ,10,11,2,1,5,1,1,1,1,2,4,4,1,66,0,100,100,100,100,100,2, ,1,3,0,0,2,994, , , ,2,2,2,2,2,2,010202,8,127639,2,-.0351850816897464,2
2024,      325800601  3,      325800601,3258,6,3,3258,2024,1493,4,1985,1024,39,5,1,1,1429,16,65,4,0,3258,1,1,1,2,2,0,0,0, ,0, , ,368,1,0,0,PE6,8,1,1,2,95, ,1,3,11,996,11,1,0,0,0,0,0,0,34,31,34, ,10,3,2,1,5,1,2,1,1,2,1,3,1,70,0,100,100,100,100,100,0,0,0,0,0,0,2,994, , , ,2,2,2,2,2,2,010202,8,127639,2,-.183168593853202,2
2024,      325800601  4,      325800601,3258,6,4,3258,2024,1493,10,1991,1103,32,4,1,1,1429,16,65,4,0,3258,1,1,1,2,2,0,0,0, ,0, ,0,368,1,0,1,PE6,29,1,1,2,2,0,1,6,11,996,11,1,0,0,0,0,0,0,34,31,34, ,10,6,2,1,5,1,2,1,1,2,2,3,1,70,0,100,100,100,100,100,2,0,0,0,0,0,2,994, , , ,2,2,2,2,2,2,010202,8,127639,2,-.183168593853202,2
2024,      325804201  2,      325804201,3258,42,2,3258,2024,1493,11,1999,1199,24,2,1,1,1429,16,65,4,0,3258,1,1,1,2,2,0,0,0, ,0, , ,368,1,0,1,PE6,1,1,1,2,95, ,1,6,11,996,11,1,0,1,0,1,1,0,34,31,34, ,10,6,2,1,4,1,1,1,1,2,2,3,2,51,0,100,100,100,100,100,2,0,0,0,3,0,2,994, , , ,2,2,2,2,2,2,010202,8,127639,3,.395370586705033,2
2024,      325806001  1,      325806001,3258,60,1,3258,2024,1493,6,1998,1182,25,3,1,1,1429,16,65,4,0,3258,1,1,1,2,2,0,0,0, ,0, ,0,368,1,0,1,PE6,14,1,1,3,8,3,2,5,11,996,11,1,0,0,0,0,1,0,34,31,31, ,10,11,2,1,3,1,1,1,1,2,4,1,2,25,0,100,100,100,100,100,2, ,2,1,1,0,2,994, , , ,2,2,2,2,2,2,010202,8,127639,3,.555609976256892,2
