iter	Passed	Remaining
163	1482	7554
164	1495	7566
165	1505	7562
166	1514	7555
167	1526	7559
168	1539	7571
169	1553	7586
170	1562	7574
171	1572	7568
172	1585	7581
173	1595	7573
174	1605	7570
175	1614	7560
176	1624	7553
177	1636	7556
178	1645	7545
179	1654	7535
180	1661	7519
181	1670	7506
182	1680	7503
183	1689	7491
184	1698	7483
185	1706	7469
186	1715	7456
187	1723	7446
188	1736	7451
189	1745	7439
190	1754	7429
191	1761	7413
192	1772	7410
193	1783	7410
194	1792	7398
195	1799	7383
196	1808	7369
197	1816	7356
198	1823	7338
199	1831	7326
200	1838	7308
201	1846	7296
202	1854	7281
203	1862	7266
204	1869	7249
205	1876	7234
206	1884	7219
207	1891	7203
208	1900	7191
209	1907	7174
210	1915	7161
211	1922	7144
212	1931	7136
213	1938	7118
214	1946	7105
215	1953	7091
216	1961	7077
217	1968	7063
218	1976	7047
219	1983	7032
220	1991	7018
221	1999	7007
222	2007	6993
223	2015	6981
224	2022	6966
225	2032	6960
226	2039	6946
227	2049	6938
228	2056	6923
229	2063	6908
230	2070	6893
231	2078	6879
232	2085	6864
233	2093	6851
234	2100	6838
235	2108	6826
236	2115	6810
237	2122	6796
238	2130	6785
239	2138	6770
240	2146	6759
241	2153	6744
242	2160	6731
243	2168	6718
244	2176	6706
245	2183	6693
246	2192	6683
247	2199	6670
248	2208	6659
249	2214	6644
250	2222	6631
251	2230	6619
252	2237	6606
253	2245	6594
254	2252	6580
255	2259	6567
256	2267	6554
257	2274	6542
258	2282	6529
259	2290	6519
260	2298	6507
261	2306	6496
262	2313	6482
263	2321	6472
264	2329	6460
265	2337	6450
266	2345	6439
267	2354	6430
268	2362	6419
269	2370	6409
270	2379	6399
271	2388	6391
272	2396	6382
273	2405	6374
274	2413	6363
275	2423	6357
276	2431	6345
277	2440	6338
278	2448	6327
279	2456	6317
280	2465	6309
281	2473	6298
282	2482	6290
283	2491	6282
284	2500	6274
285	2508	6262
286	2515	6249
287	2524	6241
288	2532	6230
289	2540	6220
290	2549	6210
291	2557	6200
292	2565	6189
293	2572	6177
294	2581	6168
295	2589	6159
296	2598	6150
297	2606	6140
298	2614	6130
299	2623	6121
300	2631	6110
301	2639	6101
302	2647	6090
303	2655	6080
304	2663	6069
305	2671	6058
306	2679	6048
307	2688	6040
308	2697	6032
309	2705	6021
310	2714	6013
311	2721	6001
312	2730	5992
313	2738	5982
314	2746	5972
315	2754	5961
316	2763	5953
317	2771	5944
318	2780	5936
319	2789	5927
320	2797	5918
321	2805	5907
322	2816	5903
323	2824	5892
324	2833	5883
325	2840	5872
326	2849	5864
327	2858	5856
328	2866	5846
329	2874	5836
330	2883	5828
331	2891	5818
332	2900	5808
333	2909	5801
334	2917	5791
335	2924	5779
336	2932	5769
337	2939	5756
338	2946	5746
339	2955	5736
340	2962	5725
341	2970	5714
342	2977	5703
343	2984	5691
344	2993	5682
345	3001	5672
346	3010	5665
347	3017	5653
348	3025	5643
349	3032	5632
350	3040	5621
351	3048	5611
352	3056	5601
353	3063	5590
354	3070	5579
355	3078	5568
356	3085	5557
357	3094	5549
358	3102	5538
359	3110	5529
360	3117	5517
361	3124	5507
362	3132	5497
363	3140	5487
364	3148	5477
365	3156	5467
366	3163	5455
367	3171	5447
368	3179	5436
369	3187	5426
370	3195	5418
371	3203	5407
372	3211	5398
373	3219	5388
374	3228	5380
375	3236	5370
376	3243	5360
377	3251	5350
378	3259	5340
379	3267	5331
380	3275	5320
381	3282	5309
382	3291	5302
383	3298	5291
384	3307	5283
385	3314	5272
386	3323	5264
387	3330	5253
388	3338	5243
389	3346	5233
390	3353	5223
391	3360	5212
392	3368	5203
393	3376	5192
394	3384	5184
395	3393	5175
396	3401	5166
397	3409	5156
398	3417	5147
399	3426	5139
400	3434	5130
401	3442	5120
402	3449	5110
403	3456	5098
404	3463	5088
405	3471	5079
406	3478	5067
407	3486	5058
408	3493	5048
409	3501	5039
410	3508	5028
411	3516	5018
